MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,776.7631722,,802.5284892,,664.6931132,,539.6936775,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,45262.65028,49870.94694,,44440,,36360,,27270,,19627.66667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|N2O,kt N2O/yr,9589.551477,10233.98247,,9643.988784,,8717.505357,,7632.049368,,7055.680132,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CH4,Mt CH4/yr,348.9808039,367.0240786,,284.3356784,,228.6838661,,201.7113551,,189.4382335,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2,Mt CO2/yr,34492.04991,38321.77599,,39538.03721,,38822.4324,,34699.60259,,25376.35946,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,2394.159186,,5874.519225,,9615.103223,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33510.80591,,35108.21072,,35230.48427,,32473.30513,,24460.15768,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,20335.12866,,22201.36794,,21317.8028,,19416.93993,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,8737.422424,,9633.417972,,7590.891581,,6519.916579,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2883.323499,,3209.698246,,3564.569973,,3721.408635,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7985.644904,,8627.366363,,9430.331693,,8442.596263,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14578.10855,,14637.71679,,12893.75106,,11020.13706,,4907.852481,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11846.65173,,12172.84429,,10627.59691,,8770.618865,,3168.854799,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-550-Conv,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,858.117133,,803.1397231,,665.0927788,,539.7071341,,,,,,,,,,
